id,author,title,text,day
1,skittle,First post,"Hello dear users, this is start of my web-site, thank your everyone :D",29/6/2025
2,skittle,Second test post,Just test :P,29/6/2025
3,skittle,Update ,First post with HH:MM,29/6/2025 - 0:12
4,skittle,How to fix bug,"idk why but when u change the page, font also change, idk why
",29/6/2025 - 1:21
5,skittle,Hello its a new post,yap,29/6/2025 - 11:30
6,skittle,Another,"i want to make many posts
",29/6/2025 - 11:30
7,skittle,New post,NEEEEW,29/6/2025 - 14:25
8,skittleNotReal,My new post,Its my newest post!,29/6/2025 - 14:40
9,skittle,New post,Test new post,29/6/2025 - 21:44
10,thung sagur,About me,"im thung thung thung thung thung thung thung thung thung SAHUUR aaaaa
xd",29/6/2025 - 22:47
11,skittle,i fix new bug!,today i fix the most ZAEBANIY bug ever,4/7/2025 - 20:28
12,skittle,post from profile,post from profiel worker,4/7/2025 - 20:28
13,skittle,post from notify,123,4/7/2025 - 20:28
14,skittle,test,test,4/7/2025 - 20:41
